NAME	Fetal-Microglia	Fetal-IPC	Fetal-Pericytes	Fetal-OPC	Fetal-Endothelial	Fetal-Astrocytes	Fetal-Oligo	Fetal-Trans	Fetal-NEP	Astrocytes	Endothelial	Fetal-quiescent	Fetal-replicating	Microglia	Neurons	OPC	Oligodendrocytes
PARP1	54.79528315626841	218.86516051882907	64.59139918125399	74.53575945806864	41.093044770591405	33.56210850639053	131.59356537397005	37.47706082019202	1.0	12.08107373865849	1.0	1.0	7.499924018485591	1.0	3.5767792412024386	1.0	14.688666831500855
PAX6	97.37620654561617	261.18600223868305	31.76053834994832	3.3240812985989296	14.748172701738788	19.355150627742688	172.8050954903069	64.21553575848667	127.06876342456634	31.651922470409737	1.002815295545703	1.0028310664362636	97.82144253863568	1.0043944107641	1.002753964002409	1.0028345901664633	1.0027797763220188
PCDH15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0014149352688735	1.0	160.24491681137783	1.0
PCDH9	115.49696998306469	12.816617306455328	36.950888867565475	24.169471792350667	27.989069517837176	14.699698651703345	13.530371227549914	14.829950296834046	15.76207316473625	1646.3450927469114	15.000783351150776	48.598446416658874	55.318705678463296	15.936887267151427	640.4027000701223	2229.3464590304625	3963.1740330979933
PCMT1	24.237979559219138	73.39931922280994	80.4705177284656	234.6935331529496	63.438472357746846	402.67493472891607	179.5100606312551	1.4593958856886147	1.1807810292461605	1.7808809267078018	1.1404078237396997	24.56972367024568	11.555520837789617	1.1931724015225478	406.56262567621013	39.46322035114176	22.35440203132027
PDE4DIP	17.490154291106297	19.47256706758116	5.829387915127246	195.33929357980097	35.11989234220632	108.51923582004923	2.331531814050446	1.4286208155429114	1.169589370450981	36.01313222695524	1.134858876301512	12.087739742183377	9.773780883711286	18.28073221907048	6.7191193312737525	19.459083792228945	8.777278199382724
PDE7A	2.803795193100715	4.22923810289864	4.550975528970069	2.883907499648867	2.659907544606138	2.488696720868835	5.498768554214715	7.297613461802289	22.710989221523487	2.3308717074631806	8.742339496093663	9.606595936676811	7.483124293215357	18.20262063668281	1.8527123992122205	5.464880628056153	3.9321493041484916
PDGFRA	1.9702200587872032	1.0265416488418329	1.1776497622286863	1.202133843480542	1.902566478431969	1.0785027132106604	1.0086359773005	1.801676090114742	1.850278514659306	1.1523882510358785	1.6155113331322284	1.5238651970857808	1.5605247951679924	2.1164682085495627	1.0855712467905023	365.55982550496674	1.3425699639670303
PDZD2	1.0016571284471807	1.0	1.0016840523999304	1.0019083880427355	1.0014035821545582	1.0015636843256126	1.0	1.0018611576136112	1.001985648912665	1.001639545704867	1.0019501587540427	1.0019482305386487	1.0018665245531642	1.0020102975538172	1.0018172451984826	144.9607055732884	1.0018903476939167
PEA15	38.55377986289215	9.73541276143391	3.4762924330527762	17.58518027675658	26.108826285672134	13.243279745563525	21.668410278443833	1.0	1.0	104.2986173772134	12.542523607533779	1.0	346.0893260350817	568.6744861641174	25.202071614386313	166.68285028814518	22.05597352914473
PELI1	3.5447473365752225	1.6677722039056018	1.3363377047402636	2.831087940191276	1.6415740512925754	2.453683713249328	1.531206138005389	2.2811901263831795	1.7810099992141368	1.1025932312353115	26.795193773036466	1.8072769965516162	1.5984524869000787	23.078311171630343	1.2078833308777466	206.40136727786523	10.019873420543355
